geracao,melhor_geracao,melhor_global,media_geracao,pior_geracao,std_geracao,soma_preferencias_melhor,penalidade_carga_melhor,penalidade_conflito_melhor,penalidade_carga_total,penalidade_conflito_total,melhoria_relativa,tempo_geracao_seg,stagnation_count,execucao
34,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.28740409999954863,33,2
35,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.29176860000006855,34,2
36,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.28608510000049137,35,2
37,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.3496058999990055,36,2
38,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.3386482999994769,37,2
39,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.3514114999998128,38,2
40,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.3236041000000114,39,2
41,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.2959983000000648,40,2
42,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.28834869999991497,41,2
43,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.2860828000011679,42,2
44,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.3678773000010551,43,2
45,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.31154330000026675,44,2
46,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.2809567000003881,45,2
47,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.2879910999999993,46,2
48,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.32763410000006843,47,2
49,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.2855409999992844,48,2
50,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.28647799999998824,49,2
51,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.2871820000000298,50,2
52,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.2832873000006657,51,2
53,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.2805791999999201,52,2
54,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.28423619999921357,53,2
55,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.2980146000008972,54,2
